admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,243.75,0.448
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Ble,KG,actual,Wholesale,XOF,280.0,0.5146
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,212.5,0.4012
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,237.5,0.4484
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,292.5,0.5522
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,236.25,0.446
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Ble,KG,actual,Wholesale,XOF,280.0,0.5286
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,102.0,0.1903
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,135.0,0.2519
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,276.0,0.5149
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,215.0,0.4011
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Ble,KG,actual,Wholesale,XOF,307.5,0.5737
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,91.25,0.1674
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,126.25,0.2316
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,280.0,0.5136
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,200.0,0.3669
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Ble,KG,actual,Wholesale,XOF,310.0,0.5687
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,108.75,0.1945
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,123.75,0.2214
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,270.0,0.483
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,160.0,0.2862
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Ble,KG,actual,Wholesale,XOF,300.0,0.5366
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,110.0,0.201
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,129.0,0.2358
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,271.2,0.4957
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,116.0,0.212
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Ble,KG,actual,Wholesale,XOF,300.0,0.5483
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,115.75,0.2109
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,133.75,0.2437
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,267.5,0.4873
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,115.0,0.2095
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,109.17,0.1981
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,141.25,0.2563
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,262.5,0.4763
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,116.67,0.2117
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,127.5,0.2349
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,147.0,0.2708
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,266.0,0.4901
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,123.5,0.2275
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,136.88,0.257
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,155.0,0.291
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,260.0,0.4882
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,125.62,0.2359
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,136.25,0.2768
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,145.0,0.2946
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,267.5,0.5435
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,121.88,0.2476
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,122.5,0.2456
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,135.0,0.2706
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,267.5,0.5362
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,116.25,0.233
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,86.25,0.1771
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,108.75,0.2233
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,263.75,0.5416
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,84.38,0.1733
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,gari,KG,actual,Retail,XOF,320.0,0.6571
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Riz (importé),KG,actual,Retail,XOF,320.0,0.6571
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Sorgho,KG,actual,Retail,XOF,225.0,0.4621
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,80.62,0.1681
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,112.5,0.2346
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,260.0,0.5422
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,85.62,0.1786
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,gari,KG,actual,Retail,XOF,320.0,0.6673
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Riz (importé),KG,actual,Retail,XOF,325.0,0.6778
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Sorgho,KG,actual,Retail,XOF,230.0,0.4797
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,85.3,0.1793
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,113.0,0.2375
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,258.0,0.5423
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,84.0,0.1766
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,gari,KG,actual,Retail,XOF,320.0,0.6726
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Riz (importé),KG,actual,Retail,XOF,325.0,0.6831
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Sorgho,KG,actual,Retail,XOF,250.0,0.5255
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,92.75,0.1903
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,120.0,0.2462
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,260.0,0.5335
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,83.75,0.1719
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,gari,KG,actual,Retail,XOF,180.0,0.3694
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Riz (importé),KG,actual,Retail,XOF,330.0,0.6771
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Sorgho,KG,actual,Retail,XOF,240.0,0.4925
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,gari,KG,actual,Retail,XOF,180.0,0.3884
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Riz (importé),KG,actual,Retail,XOF,335.0,0.7228
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Sorgho,KG,actual,Retail,XOF,220.0,0.4747
